Statistical profiling result from log-v8-nodegub.log, (1557 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1    4.8%        Function: ~<anonymous> node:assert:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      1  100.0%            LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:263:25
      1    4.8%        Function: ~<anonymous> node:_tls_common:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1    4.8%        Function: ~<anonymous> node:_http_common:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      5   16.7%      Function: ^compileForPublicLoader node:internal/bootstrap/loaders:263:25
      5  100.0%        Function: ^loadBuiltinModule node:internal/modules/cjs/helpers:45:27
      5  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:807:24
      5  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:1053:36
      4   13.3%      LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:263:25
      3   75.0%        LazyCompile: ~loadBuiltinModule node:internal/modules/cjs/helpers:45:27
      3  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:807:24
      3  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:1053:36
      1   25.0%        Function: ^loadBuiltinModule node:internal/modules/cjs/helpers:45:27
      1  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:807:24
      1  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:1053:36
     20    2.7%    Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      4   20.0%      Function: ~<anonymous> node:internal/modules/esm/loader:1:1
      4  100.0%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      4  100.0%          Function: ~<anonymous> node:internal/process/esm_loader:1:1
      4  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      3   15.0%      Function: ~<anonymous> node:internal/modules/esm/fetch_module:1:1
      3  100.0%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      3  100.0%          Function: ~<anonymous> node:internal/modules/esm/get_format:1:1
      3  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      3   15.0%      Function: ~<anonymous> node:internal/fs/promises:1:1
      3  100.0%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      3  100.0%          Function: ~<anonymous> node:internal/modules/esm/load:1:1
      3  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      2   10.0%      LazyCompile: ~initializeCJSLoader node:internal/process/pre_execution:535:29
      2  100.0%        LazyCompile: ~prepareMainThreadExecution node:internal/process/pre_execution:36:36
      2  100.0%          Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    5.0%      LazyCompile: ~prepareMainThreadExecution node:internal/process/pre_execution:36:36
      1  100.0%        Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    5.0%      LazyCompile: ~initializeSourceMapsHandlers node:internal/process/pre_execution:574:38
      1  100.0%        LazyCompile: ~prepareMainThreadExecution node:internal/process/pre_execution:36:36
      1  100.0%          Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    5.0%      Function: ~<anonymous> node:internal/source_map/source_map_cache:1:1
      1  100.0%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1  100.0%          LazyCompile: ~initializeSourceMapsHandlers node:internal/process/pre_execution:574:38
      1  100.0%            LazyCompile: ~prepareMainThreadExecution node:internal/process/pre_execution:36:36
      1    5.0%      Function: ~<anonymous> node:internal/process/esm_loader:1:1
      1  100.0%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1  100.0%          Function: ~<anonymous> node:internal/modules/cjs/loader:1:1
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1    5.0%      Function: ~<anonymous> node:internal/modules/esm/resolve:1:1
      1  100.0%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1  100.0%          Function: ~<anonymous> node:internal/modules/esm/loader:1:1
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1    5.0%      Function: ~<anonymous> node:internal/modules/esm/load:1:1
      1  100.0%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1  100.0%          Function: ~<anonymous> node:internal/modules/esm/loader:1:1
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1    5.0%      Function: ~<anonymous> node:internal/modules/esm/get_format:1:1
      1  100.0%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1  100.0%          Function: ~<anonymous> node:internal/modules/esm/resolve:1:1
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1    5.0%      Function: ~<anonymous> node:internal/blocklist:1:1
      1  100.0%        Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1  100.0%          LazyCompile: ~get BlockList node:net:1980:16
      1  100.0%            Function: ~<anonymous> node:internal/modules/esm/fetch_module:1:1
     17    2.3%    Function: ^read node:internal/modules/package_json_reader:16:14
     12   70.6%      Function: ^readPackage node:internal/modules/cjs/loader:326:21
     12  100.0%        Function: ^resolveExports node:internal/modules/cjs/loader:519:24
     12  100.0%          Function: ^Module._findPath node:internal/modules/cjs/loader:541:28
      9   75.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:904:35
      3   25.0%            LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:904:35
      3   17.6%      LazyCompile: *Module._findPath node:internal/modules/cjs/loader:541:28
      3  100.0%        Function: ^Module._resolveFilename node:internal/modules/cjs/loader:904:35
      3  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:807:24
      3  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:1053:36
      2   11.8%      LazyCompile: *readPackageScope node:internal/modules/cjs/loader:368:26
      2  100.0%        Function: ^Module._extensions..js node:internal/modules/cjs/loader:1168:37
      2  100.0%          Function: ^Module.load node:internal/modules/cjs/loader:1025:33
      2  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:807:24
     17    2.3%    Function: ^cpus node:os:141:14
     16   94.1%      Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/server.js:231:34
     16  100.0%        Function: ^handle /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/router/layer.js:86:49
     16  100.0%          Function: ^next /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/router/route.js:116:16
     16  100.0%            Function: ^compression /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/compression/index.js:59:31
      1    5.9%      LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/server.js:231:34
      1  100.0%        LazyCompile: ~handle /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/router/layer.js:86:49
      1  100.0%          LazyCompile: ~next /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/router/route.js:116:16
      1  100.0%            LazyCompile: ~compression /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/compression/index.js:59:31
     10    1.3%    t _Builtins_KeyedLoadIC_Megamorphic
      3   30.0%      Function: ^_addHeaderLine node:_http_incoming:385:24
      3  100.0%        Function: ^get node:_http_incoming:112:16
      3  100.0%          Function: ^parserOnIncoming node:_http_server:968:26
      3  100.0%            Function: ^parserOnHeadersComplete node:_http_common:72:33
      3   30.0%      Function: ^Module._load node:internal/modules/cjs/loader:807:24
      3  100.0%        Function: ^Module.require node:internal/modules/cjs/loader:1053:36
      3  100.0%          Function: ^require node:internal/modules/cjs/helpers:102:31
      1   33.3%            Function: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:1:1
      1   33.3%            Function: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/collection.js:1:1
      1   33.3%            Function: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/@mapbox/node-pre-gyp/node_modules/semver/ranges/max-satisfying.js:1:1
      2   20.0%      Function: ^Module._findPath node:internal/modules/cjs/loader:541:28
      2  100.0%        Function: ^Module._resolveFilename node:internal/modules/cjs/loader:904:35
      2  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:807:24
      2  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:1053:36
      1   10.0%      Function: ^resolveExports node:internal/modules/cjs/loader:519:24
      1  100.0%        Function: ^Module._findPath node:internal/modules/cjs/loader:541:28
      1  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:904:35
      1  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:807:24
      1   10.0%      Function: ^getHeader node:_http_outgoing:688:57
      1  100.0%        Function: ^res.get /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/response.js:811:19
      1  100.0%          Function: ^json /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/response.js:250:25
      1  100.0%            Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/server.js:231:34
     10    1.3%    Function: ^writevGeneric node:internal/stream_base_commons:122:23
     10  100.0%      Function: ^Socket._writeGeneric node:net:891:42
     10  100.0%        Function: ^Socket._writev node:net:923:36
      9   90.0%          Function: ^doWrite node:internal/streams/writable:401:17
      9  100.0%            Function: ^clearBuffer node:internal/streams/writable:532:21
      1   10.0%          LazyCompile: ~doWrite node:internal/streams/writable:401:17
      1  100.0%            LazyCompile: ~clearBuffer node:internal/streams/writable:532:21
      9    1.2%    Function: ^handleWriteReq node:internal/stream_base_commons:45:24
      9  100.0%      Function: ^writeGeneric node:internal/stream_base_commons:147:22
      9  100.0%        Function: ^Socket._writeGeneric node:net:891:42
      9  100.0%          Function: ^Socket._write node:net:928:35
      9  100.0%            Function: ^writeOrBuffer node:internal/streams/writable:368:23
      8    1.1%    Function: ^openSync node:fs:591:18
      7   87.5%      Function: ^readFileSync node:fs:465:22
      6   85.7%        Function: ^Module._extensions..js node:internal/modules/cjs/loader:1168:37
      6  100.0%          Function: ^Module.load node:internal/modules/cjs/loader:1025:33
      6  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:807:24
      1   14.3%        LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1168:37
      1  100.0%          LazyCompile: ~Module.load node:internal/modules/cjs/loader:1025:33
      1  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:807:24
      1   12.5%      LazyCompile: ~readFileSync node:fs:465:22
      1  100.0%        LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1168:37
      1  100.0%          LazyCompile: ~Module.load node:internal/modules/cjs/loader:1025:33
      1  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:807:24

    242   15.5%  t __posix_spawn_file_actions_grow

     43    2.8%  T __kernelrpc_mach_port_get_refs
      2    4.7%    LazyCompile: *clearBuffer node:internal/streams/writable:532:21
      2  100.0%      Function: ^Writable.uncork node:internal/streams/writable:344:37
      2  100.0%        Function: ^end node:_http_outgoing:953:45
      2  100.0%          Function: ^writeend /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express-session/index.js:260:24
      2  100.0%            LazyCompile: *<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/connect-mongo/build/main/lib/MongoStore.js:296:10
      2    4.7%    Function: ^hash /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express-session/index.js:596:14
      2  100.0%      Function: ^inflate /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express-session/index.js:371:22
      2  100.0%        Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express-session/index.js:485:38
      2  100.0%          Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/connect-mongo/build/main/lib/MongoStore.js:203:10
      2  100.0%            t _Builtins_AsyncFunctionAwaitResolveClosure
      1    2.3%    LazyCompile: ~urlResolve node:url:703:20
      1  100.0%      LazyCompile: ~module.exports.evaluate /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/@mapbox/node-pre-gyp/lib/util/versioning.js:277:35
      1  100.0%        LazyCompile: ~exports.find /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/@mapbox/node-pre-gyp/lib/pre-binding.js:17:24
      1  100.0%          Function: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/bcrypt/bcrypt.js:1:1
      1  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1113:37
      1    2.3%    LazyCompile: ~updateOutgoingData node:_http_server:704:28
      1  100.0%      LazyCompile: ~_send node:_http_outgoing:336:49
      1  100.0%        LazyCompile: ~write_ node:_http_outgoing:831:16
      1  100.0%          LazyCompile: ~write node:_http_outgoing:802:49
      1  100.0%            LazyCompile: ~writetop /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express-session/index.js:270:24
      1    2.3%    LazyCompile: ~send /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/response.js:111:25
      1  100.0%      LazyCompile: ~json /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/response.js:250:25
      1  100.0%        LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/server.js:231:34
      1  100.0%          LazyCompile: ~handle /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            LazyCompile: ~next /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/router/route.js:116:16
      1    2.3%    LazyCompile: ~resOnFinish node:_http_server:910:21
      1  100.0%      Function: ^emit node:events:460:44
      1  100.0%        Function: ^onFinish node:_http_outgoing:948:18
      1  100.0%          Function: ^callback node:internal/streams/writable:553:44
      1  100.0%            Function: ^afterWrite node:internal/streams/writable:490:20
      1    2.3%    LazyCompile: ~realpathSync node:fs:2474:22
      1  100.0%      LazyCompile: ~toRealPath node:internal/modules/cjs/loader:440:20
      1  100.0%        LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:541:28
      1  100.0%          LazyCompile: ~resolveMainPath node:internal/modules/run_main:15:25
      1  100.0%            LazyCompile: ~executeUserEntryPoint node:internal/modules/run_main:74:31
      1    2.3%    LazyCompile: ~ready /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connection_pool.js:139:10
      1  100.0%      LazyCompile: ~updateServers /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/sdam/topology.js:487:23
      1  100.0%        LazyCompile: ~serverUpdateHandler /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/sdam/topology.js:319:24
      1  100.0%          LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/sdam/topology.js:479:53
      1  100.0%            Function: ^emit node:events:460:44
      1    2.3%    LazyCompile: ~readInt32LE node:internal/buffer:385:21
      1  100.0%      LazyCompile: ~parse /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/node_modules/mongodb/lib/cmap/commands.js:222:10
      1  100.0%        LazyCompile: ~onMessage /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/node_modules/mongodb/lib/cmap/connection.js:156:14
      1  100.0%          LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/node_modules/mongodb/lib/cmap/connection.js:60:44
      1  100.0%            Function: ^emit node:events:460:44
      1    2.3%    LazyCompile: ~parseOptions /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/node_modules/mongodb/lib/connection_string.js:204:22
      1  100.0%      LazyCompile: ~MongoClient /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/node_modules/mongodb/lib/mongo_client.js:63:16
      1  100.0%        LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/lib/connection.js:798:31
      1  100.0%          t _Builtins_PromiseConstructor
      1  100.0%            LazyCompile: ~Connection.openUri /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/lib/connection.js:680:40
      1    2.3%    LazyCompile: ~onconnection node:net:1711:22
      1    2.3%    LazyCompile: ~onceWrapper node:events:622:21
      1  100.0%      Function: ^emit node:events:460:44
      1  100.0%        LazyCompile: ~emitConstructNT node:internal/streams/destroy:281:25
      1  100.0%          LazyCompile: ~processTicksAndRejections node:internal/process/task_queues:67:35
      1    2.3%    LazyCompile: ~nocompress /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/compression/index.js:134:25
      1  100.0%      LazyCompile: ~onResponseHeaders /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/compression/index.js:140:47
      1  100.0%        LazyCompile: ~writeHead /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/on-headers/index.js:28:29
      1  100.0%          LazyCompile: ~_implicitHeader node:_http_server:333:68
      1  100.0%            LazyCompile: ~end /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/compression/index.js:92:28
      1    2.3%    LazyCompile: ~matchHeader node:_http_outgoing:577:21
      1  100.0%      Function: ^storeHeader node:_http_outgoing:570:21
      1  100.0%        LazyCompile: ~processHeader node:_http_outgoing:551:23
      1  100.0%          LazyCompile: ~_storeHeader node:_http_outgoing:420:22
      1  100.0%            LazyCompile: ~writeHead node:_http_server:338:19
      1    2.3%    LazyCompile: ~listOnTimeout node:internal/timers:512:25
      1  100.0%      LazyCompile: ~processTimers node:internal/timers:492:25
      1    2.3%    LazyCompile: ~hasColors node:internal/tty:222:19
      1  100.0%      LazyCompile: ~refresh node:internal/util/colors:10:10
      1  100.0%        Function: ~<anonymous> node:internal/util/colors:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:316:27
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
      1    2.3%    LazyCompile: ~equals /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/node_modules/mongodb/lib/sdam/server_description.js:95:11
      1  100.0%      LazyCompile: ~serverUpdateHandler /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/node_modules/mongodb/lib/sdam/topology.js:321:24
      1  100.0%        LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/node_modules/mongodb/lib/sdam/topology.js:481:53
      1  100.0%          LazyCompile: *emit node:events:460:44
      1  100.0%            LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/node_modules/mongodb/lib/sdam/server.js:63:55
      1    2.3%    LazyCompile: ~defaultTriggerAsyncIdScope node:internal/async_hooks:455:36
      1  100.0%      LazyCompile: ~connectionListener node:_http_server:598:28
      1  100.0%        Function: ^emit node:events:460:44
      1  100.0%          LazyCompile: ~onconnection node:net:1711:22
      1    2.3%    LazyCompile: ~callback /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connect.js:63:31
      1  100.0%      LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connect.js:88:85
      1  100.0%        Function: ^onMessage /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connection.js:156:14
      1  100.0%          Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connection.js:60:44
      1  100.0%            LazyCompile: *processIncomingData /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/message_stream.js:84:29
      1    2.3%    LazyCompile: ~_storeHeader node:_http_outgoing:420:22
      1  100.0%      LazyCompile: ~writeHead node:_http_server:338:19
      1  100.0%        LazyCompile: ~writeHead /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/on-headers/index.js:28:29
      1  100.0%          LazyCompile: ~writeHead /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/on-headers/index.js:28:29
      1  100.0%            LazyCompile: ~_implicitHeader node:_http_server:333:68
      1    2.3%    LazyCompile: ~_destroy node:internal/streams/destroy:77:18
      1  100.0%      LazyCompile: ~destroy node:internal/streams/destroy:39:17
      1  100.0%        Function: ^endReadableNT node:internal/streams/readable:1352:23
      1  100.0%          Function: ^processTicksAndRejections node:internal/process/task_queues:67:35
      1    2.3%    LazyCompile: ~Socket._writeGeneric node:net:891:42
      1  100.0%      Function: ^Socket._write node:net:928:35
      1  100.0%        Function: ^writeOrBuffer node:internal/streams/writable:368:23
      1  100.0%          Function: ^_write node:internal/streams/writable:286:16
      1  100.0%            Function: ^Writable.write node:internal/streams/writable:336:36
      1    2.3%    LazyCompile: ~Long.not /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/bson/lib/long.js:623:35
      1  100.0%      LazyCompile: ~Long.negate /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/bson/lib/long.js:613:38
      1  100.0%        LazyCompile: ~Long.neg /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/bson/lib/long.js:619:35
      1  100.0%          LazyCompile: ~Long.subtract /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/bson/lib/long.js:720:40
      1  100.0%            LazyCompile: ~Long.sub /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/bson/lib/long.js:726:35
      1    2.3%    LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/yargs/build/index.cjs:1:50245
      1  100.0%      LazyCompile: ~Xt /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/yargs/build/index.cjs:1:28448
      1  100.0%        LazyCompile: ~fe.Yargs /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/yargs/build/index.cjs:1:61285
      1  100.0%          LazyCompile: ~Argv /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/yargs/index.cjs:11:14
      1  100.0%            Function: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/yargs/index.cjs:1:1
      1    2.3%    LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/lib/model.js:1445:52
      1  100.0%      LazyCompile: ~promiseOrCallback /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/lib/helpers/promiseOrCallback.js:8:44
      1  100.0%        LazyCompile: ~Mongoose._promiseOrCallback /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/lib/index.js:1233:49
      1  100.0%          LazyCompile: ~createCollection /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/lib/model.js:1396:51
      1  100.0%            LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongoose/lib/model.js:1336:5
      1    2.3%    LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connection_pool.js:345:48
      1  100.0%      LazyCompile: ~callback /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connect.js:63:31
      1  100.0%        LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connect.js:88:85
      1  100.0%          LazyCompile: ~onMessage /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connection.js:156:14
      1  100.0%            LazyCompile: ~<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connection.js:60:44
      1    2.3%    LazyCompile: *emit node:events:460:44
      1  100.0%      Function: ^completeEndSession /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/sessions.js:138:40
      1  100.0%        Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/sessions.js:133:52
      1  100.0%          Function: ^maybePromise /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/utils.js:344:22
      1  100.0%            Function: ^endSession /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/sessions.js:129:15
      1    2.3%    Function: ~<anonymous> node:internal/modules/cjs/loader:1:1
      1  100.0%      Function: ^nativeModuleRequire node:internal/bootstrap/loaders:353:29
