Statistical profiling result from log-v8-nodegub.log, (1557 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  Function: ^get /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/bson/lib/bson.js:7:76
      1    0.1%    0.1%  Function: ^fromString /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/utils.js:315:22
      1    0.1%    0.1%  Function: ^fromOptions /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/explain.js:24:23
      1    0.1%    0.1%  Function: ^fromArrayBuffer node:buffer:454:25
      1    0.1%    0.1%  Function: ^from node:buffer:301:28
      1    0.1%    0.1%  Function: ^doWrite node:internal/streams/writable:401:17
      1    0.1%    0.1%  Function: ^deserializeObject /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/bson/lib/parser/deserializer.js:65:27
      1    0.1%    0.1%  Function: ^createUnsafeBuffer node:internal/buffer:1059:28
      1    0.1%    0.1%  Function: ^checkInvalidHeaderChar node:_http_common:221:32
      1    0.1%    0.1%  Function: ^callback /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/utils.js:350:24
      1    0.1%    0.1%  Function: ^assert node:internal/assert:11:16
      1    0.1%    0.1%  Function: ^_addListener node:events:541:22
      1    0.1%    0.1%  Function: ^Socket.read node:net:736:33
      1    0.1%    0.1%  Function: ^Socket._writeGeneric node:net:891:42
      1    0.1%    0.1%  Function: ^Socket._write node:net:928:35
      1    0.1%    0.1%  Function: ^Socket._read node:net:678:34
      1    0.1%    0.1%  Function: ^Readable.on node:internal/streams/readable:886:33
      1    0.1%    0.1%  Function: ^Binary.value /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/bson/lib/binary.js:154:39
      1    0.1%    0.1%  Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/sdam/topology.js:477:26
      1    0.1%    0.1%  Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/sdam/server.js:43:35
